id;CLM_FREQ; CLM_AMT_1 ; CLM_AMT_2 ; CLM_AMT_3 ; CLM_AMT_4 ; CLM_AMT_5 ; CLM_AMT_6 ; CLM_AMT_7 ; CLM_AMT_8 ; CLM_AMT_9 ; CLM_AMT_10 ; CLM_AMT_11 ;CAR_USE;CAR_TYPE;AGE;GENDER;AREA;PREMIUM;FEES
1;4;251;77;232;110; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;60;M;Urban;395;20
2;1;171; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;43;M;Urban;598;30
3;1;167; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Van;48;M;Urban;312;16
4;2;225;386; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;35;F;Urban;652;33
5;4;133;66;536;245; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;51;M;Urban;412;21
6;4;171;114;290;134; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;50;F;Urban;644;32
7;3;125;81;120; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sports Car;34;F;Urban;475;24
8;3;252;176;266; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;54;F;Urban;315;16
9;3;81;86;82; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;40;M;Urban;673;34
10;1;251; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;44;F;Rural;478;24
11;2;140;65; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;37;M;Urban;359;18
12;4;216;200;70;31; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;34;F;Urban;480;24
13;3;317;129;110; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;50;M;Rural;510;26
